,import
200901,"4,700,345"
200902,"6,891,164"
200903,"7,481,636"
200904,"5,427,997"
200905,"4,993,406"
200906,"4,061,255"
200907,"4,395,939"
200908,"4,729,947"
200909,"3,899,732"
200910,"4,429,185"
200911,"3,681,888"
200912,"5,312,802"
201001,"6,456,624"
201002,"7,333,397"
201003,"8,235,396"
201004,"8,196,119"
201005,"7,436,198"
201006,"4,670,866"
201007,"5,407,491"
201008,"5,559,283"
201009,"4,082,271"
201010,"5,044,383"
201011,"7,375,103"
201012,"9,906,834"
201101,"11,122,211"
201102,"7,466,925"
201103,"9,243,953"
201104,"8,103,053"
201105,"8,214,479"
201106,"5,915,866"
201107,"5,766,993"
201108,"6,029,771"
201109,"5,963,458"
201110,"8,150,047"
201111,"10,498,387"
201112,"10,153,190"
201201,"11,515,043"
201202,"9,891,919"
201203,"10,004,723"
201204,"9,421,776"
201205,"10,968,854"
201206,"7,742,001"
201207,"6,884,735"
201208,"7,589,175"
201209,"7,933,029"
201210,"7,559,045"
201211,"8,504,685"
201212,"11,330,660"
201301,"13,075,017"
201302,"10,712,339"
201303,"10,580,272"
201304,"11,850,703"
201305,"12,309,038"
201306,"8,384,168"
201307,"7,469,705"
201308,"7,684,802"
201309,"7,153,735"
201310,"7,850,022"
201311,"9,544,837"
201312,"14,206,684"
201401,"10,404,362"
201402,"10,128,504"
201403,"12,773,165"
201404,"13,827,751"
201405,"11,466,468"
201406,"9,425,528"
201407,"9,843,201"
201408,"7,987,524"
201409,"9,410,722"
201410,"9,378,846"
201411,"7,090,614"
201412,"10,458,715"
201501,"12,806,099"
201502,"14,792,168"
201503,"18,528,955"
201504,"19,648,534"
201505,"12,242,808"
201506,"8,089,916"
201507,"9,136,798"
201508,"9,309,035"
201509,"8,095,724"
201510,"11,164,463"
201511,"11,333,979"
201512,"16,291,604"
201601,"13,576,731.50"
201602,"14,681,562.50"
201603,"16,265,036.60"
201604,"19,026,400.84"
201605,"13,268,126.78"
201606,"10,429,305.24"
201607,"10,484,916.43"
201608,"9,888,434.61"
201609,"9,886,275.69"
201610,"10,214,255.52"
201611,"9,656,287.73"
201612,"13,652,252.57"
201701,"12,209,239.50"
201702,"14,011,339.55"
201703,"15,151,762.53"
201704,"19,381,363.86"
201705,"12,514,430.62"
201706,"12,150,925.09"
201707,"8,683,809.91"
201708,"11,112,464.69"
201709,"12,358,571.32"
201710,"9,691,112.47"
201711,"13,666,333.24"
201712,"18,672,566.93"
201801,"16,108,700.37"
201802,"11,806,885.88"
201803,"14,722,405.80"
201804,"18,227,890.02"
201805,"12,220,431.74"
201806,"11,306,840.63"
201807,"10,964,627.82"
201808,"11,009,607.03"
201809,"8,209,627.63"
201810,"15,466,428.34"
201811,"13,979,480.91"
201812,"20,413,210.34"
