시점,월별(1),평균기온,평균최고기온,평균최저기온,강수량,평균상대습도,최심신적설,평균풍속
2000,1월,0.8,4.9,-2.4,66.3,58,24.8,3.2
2000,2월,0.9,5.9,-3.1,3.3,39,2,3.7
2000,3월,8.1,13.8,2.9,15.9,41,0,3.7
2000,4월,12.6,18.1,7.2,37.1,50,0,3.6
2000,5월,17,22.2,12.6,47.6,70,0,2.2
2000,6월,21.7,27,17.2,114.3,69,0,2
2000,7얼,27.2,31.9,23.4,86.4,67,0,2.5
2000,8월,25.4,29.4,22.5,214.1,79,0,1.7
2000,9월,19.7,24,16.4,407.7,76,0,2.4
2000,10월,15.5,20.8,11.3,13.8,64,0,2.4
2000,11월,8.6,14,4.4,97.1,54,0,2.8
2000,12월,4.1,9.2,-0.4,5.6,42,0.5,3.3
2001,1월,-1.3,2.3,-4.9,101,48,10.5,3.6
2001,2월,2.1,7,-2,97.6,52,23.6,3.1
2001,3월,6.5,12.2,1.5,25.5,47,16,3.4
2001,4월,14,20,8.4,18.9,44,0,3.3
2001,5월,18.8,24.2,14.3,25.4,56,0,3
2001,6월,22.1,26.6,18.8,121.3,67,0,2.2
2001,7얼,26.5,31,22.6,122.9,67,0,2
2001,8월,24.6,29,21.2,81.2,74,0,2
2001,9월,20,24.3,16.2,273.2,70,0,2.5
2001,10월,16.3,20.9,12.4,195.1,65,0,2.6
2001,11월,8.9,13.9,5.2,34.4,46,0,3.4
2001,12월,2.1,6.6,-1.3,21.1,38,11.1,3.6
2002,1월,1.5,5.7,-2.1,78,53,6.9,3.9
2002,2월,4.8,9.3,0.5,0,37,0,3.7
2002,3월,9.7,14.7,4.5,25.6,43,0,3.7
2002,4월,14.3,19.6,9.5,50.5,45,0,3.2
2002,5월,17.1,21.3,12.6,78.8,62,0,2.3
2002,6월,21.3,25.7,16.9,33.3,63,0,2.2
2002,7얼,23.6,26.8,20.7,224.7,76,0,1.8
2002,8월,23.4,26.4,21.2,1137,78,0,2.1
2002,9월,19.5,23.5,16,128.5,73,0,2.2
2002,10월,14,18.5,9.8,180,55,0,2.9
2002,11월,6.3,10.9,2.3,0.4,41,0,3.4
2002,12월,2.6,6.2,-0.4,129.4,60,18,2.2
2003,1월,-0.4,3.7,-4,60.2,49,36.8,3.4
2003,2월,2.7,6.4,-0.8,90.7,65,8,2.5
2003,3월,5.9,9.9,2.2,81,61,20,2.5
2003,4월,12.8,17.5,8.1,200,62,0,2.6
